Rk,Team
1,Indiana Pacers
2,Miami Heat
3,Memphis Grizzlies
4,Utah Jazz
5,Orlando Magic
6,Denver Nuggets
7,Detroit Pistons
8,Boston Celtics
9,Toronto Raptors
10,Houston Rockets
11,Milwaukee Bucks
12,San Antonio Spurs
13,Dallas Mavericks
14,Portland Trail Blazers
15,Oklahoma City Thunder
16,Golden State Warriors
17,Charlotte Hornets
18,Brooklyn Nets
19,Philadelphia 76ers
20,Chicago Bulls
21,Los Angeles Lakers
22,New York Knicks
23,Minnesota Timberwolves
24,Cleveland Cavaliers
25,Los Angeles Clippers
26,Sacramento Kings
27,New Orleans Pelicans
28,Phoenix Suns
29,Washington Wizards
30,Atlanta Hawks
